书名,作者,类型,进度,字数,积分,标签,时间,简介
高冷上校诱捕指南,三点一肆一伍玖,原创-纯爱-幻想未来-科幻,连载,49061,1785052,"['破镜重圆', '异能', '末世', '星际', '未来架空', '轻松']",2024-12-12,如何攻略高冷上校，三个步骤教你搞定。首先，我们要准备一个陷入危险的上校，在他马上要失去意识的时候，救他！救他！救他！！然后用救命之恩自然过渡到以身相许。你以为这就完了吗？no no no！在上校面前，好孩子是一定要装的，训练是可以摸鱼的，但成绩必须是第一的。什么，你问我上校为什么每天都在悄悄调查自己？因为……我也有想让上校发现的秘密啊！几百年前，病毒爆发，感染病毒的人类失去了理智与智慧，他们变成了怪物，人类与虫族的战斗出现了第三者，星球逐渐被分割。在这场战争中，遭受最严重的就是相里所在的c079星球。几百年后，相里在星际湾角偶然间救了帝国管理上校——楚祁，那个整天挂在主星宣传板上的男人。小说中写的好 ，不要随便捡陌生男人回家，相里不仅捡了，还把自己拐到了对方家里。美名其曰：救命之恩以身相许。其他人：是你以身相许吗你就许，算盘珠子我在主星都听见了！相里双手叉腰：哼！他们这是嫉妒！绿茶心机白切黑美强攻×高冷中透着淡淡的幽默感上校PS，小甜饼一枚啊，小情侣就是要甜甜蜜蜜！想拥有相里同款高冷上校吗？各位读者朋友们走过路过不要错过，抓紧观看，跟随相里老师逐帧学习，高冷上校带回家啊！！再PS，相里是攻！！！乖乖们不要站反啊！阅读指南：有关[虫族]内容很少，也不是主体内容，所以没有带虫族的标签，世界观为自己私设，乖乖们慎看！！！架空虚构背景，与现实无关，请勿代入现实！
和生化蜘蛛接吻会中毒吗,风追羽,原创-纯爱-幻想未来-爱情,连载,55913,1784090,"['强强', '仙侠修真', '末世', '未来架空', '赛博朋克', 'HE']",2024-12-15,赛博城的修真道士x人工生化体蜘蛛【原名赛博末日开道观】————————“我家的仿生狗突然疯了。”论坛上突然出现一个帖子，引起无数人关注讨论。“它叫波比，它平时很乖。但是今天它突然像疯了一样在家里转圈，甚至从台阶上掉下来都没有停下！”“我已经回房间了，并且通知了我的父母，但是它开始撞我的房门了！我该怎么办！！！”“朋友们！我坚持到了爸妈回来！我从包里翻出一个挂件，是上周在C区的一个道观买的，我把这个东西挂在门上，果然波比没有再撞门了！”“父亲好像被波比咬伤了，我们正在呼救家用医护机器人，今天线路格外繁忙，我们还需要排队很久，母亲帮父亲先包扎了一下，希望父亲可以尽快好起来。”“坏起来了，父亲的情况不太好，这个帖子先更新到这里，我们需要送父亲去医院了，祝愿一切顺利。”排雷1.人外，含有大量非人生命体描写（例如蜘蛛等节肢动物或昆虫）。2.互攻。3.文中赛博科技与修真设定均为架空。
春意浓墨,妡荇,原创-言情-近代现代-爱情,连载,55036,1781650,"['娱乐圈', '正剧', '治愈', '救赎', '综艺']",2024-12-09,这个作者是个文案废物，不要太相信她的文案（不是去看正文吧宝贝们，喜欢的点个收藏，爱你们哟年少之时，许知几有一个发小，只记得那时她的发小非常胆小，事事需要她保护，她便经常吓唬他。之后他转学，据说出国了，她们便再也没有遇见，她家中出事，连他的一点信息都没听说过，她也逐渐忘记了他的模样。后来她开了家民宿，录制节目时，顶流男星用了她的皂过敏。“我因为你的皂而过敏，工作都暂停了，你就这么走了，不对我负责吗？”某人“真诚”发问。她自认倒霉：“负责？”江·体弱多病·以·内心暗爽哥·宸，影帝模式大爆发，“我有些口渴。”“？”“可能是药喝多了？”“……我给你倒杯水。”“不知道怎么回事，头有些疼，还有点晕。”“？”“可能是药里面有轻微的安眠成分？”“……那我帮你按摩一下。”“这药吃的有点儿没有胃口。”“我懂，我去做饭给你吃，想吃什么？”许·不明所以·知·有点怪怪的·几内心：总感觉有种说不出来的怪感，像是被人耍了。再后来，这个顶流男星不知怎么的，脑子抽风开始追她，她不理解。直到某日，她亲耳听见他对经纪人说：“玩玩而已，怎么会当真。”——时隔十一年，他们再次相遇，江以宸一眼就认出了她，不顾自己艺人的身份也要留在她身边。可惜……她似乎没有认出他。那晚，他看着曾经的照片，守着回忆，一夜未眠。而他对她表白那日，她也一晚未眠，看了一晚上的星星。发布会上，记者提问：“请问，二位老师什么时候认识的，是在录节目时才认识对方的吗？”“当然。”许知几信誓旦旦的回答。但江以宸回答：“很久以前。”又温柔的看向她，“好久不见。”宝贝们，为了保证文的质量，从今天起隔日更新！你们也可以等完结一起看！——下一本《今天也很可爱》可以去我的专栏提前收藏！开文会发微博的！！！文案：当红女星与长红多年的顶流男星毫无征兆的官宣领证，二人没有一次同框过，社交平台也没有互关，官宣之前毫无联系，唯一能联系到一起的也是，他们都姓沈。一时之间震惊圈内外，就连业内人士都在猜测他们什么时候在一起的。毕竟就连采访和录制节目时，双方团队都会默契的打招呼。“别提沈懿悦老师。”“别提沈垣老师。”更别说双方同台了，那是更不可能的。众人都在议论，“莫非这对是协议夫妻?！”就在大家都这么想的时候，沈懿悦现身机场，脖子上……有……草莓印?！！还不止一个！！但沈垣社交平台IP地址显示，他在国外?！！！热搜瞬间瘫痪。#沈懿悦草莓印  爆#沈垣IP  爆#沈懿悦疑似出轨  爆“被绿”了的当事人沈垣，这才不紧不慢的发了条微博：【别脑补了，我种的怎么了。】晚上，沈垣回家：“你绿了我?”沈懿悦：“什么？”“当初是谁在合同上特意加的条约，嗯?哪来的草莓印，谁种的?”沈懿悦愤怒的瞪眼赌气，“谁知道呢，你就当我把你绿了吧。”排雷：年上文，男主大女主七岁（不然不可能女主当红，男主长红，其实也不算大太多对吧）女主22男主29双C
掌中雀,我与丹青两幻身,原创-言情-架空历史-爱情,连载,99522,1771622,"['宫廷侯爵', '破镜重圆', '相爱相杀', '追爱火葬场']",2024-12-09,【草原旧部卑微公主*强取豪夺偏执皇帝】【日更，猛猛更新中】1.草原公主吉雅为救旧部。费尽心力讨好新朝使臣四皇子祈令夷，真情实意献心献身，却得到大军一夜间湮灭部族的下场。三年后尘埃落定，新皇登基却下诏擢选舞姬。曾经的满腔爱意和热烈都给了他。如今她奉诏上京却不知如何再见故人。“卑下早已成婚，家中唯有父亲与夫君二人……”曾经冷心冷情的天子突然雷霆大怒。“听说你早就成婚了是吧？在我离开漠北之后迅速成婚，生怕我再给你安个逼婚未遂贼心不死的帽子？”曾经的两相情许变作无尽苦涩。直到为了父亲。吉雅被迫假情假意与之周旋。这算计中不仅有他还有其他更多男人。祈令夷终于被她渐渐逼到疯魔，行止愈发怪异。2.新皇祈令夷大权在握，冷血无情。为了挽回故人情思宁愿隐藏自己，装作温顺，但本性终有败露的一天。他看得出她在做戏，可便是做戏也不仅仅给他一人。第一次做戏是去见别的男人，第二次做戏是为别的男人讨官。戏演的越来越真，情却不知能有几分。终于到了这天，他的吉雅端了毒酒近在眼前问他。“陛下，你当年无故屠戮我族时，有没有想过会有今天？”他想，他费尽心机囚在四方红墙中的云雀终是要飞了……他笑着满目疯狂，“吉雅，你曾说过与我永世不离，说出口的就是诺言，即便我死也要践行此诺！”疯言疯语终究留不下执意要走的人。3.五年后。元宵灯节花灯街市上。经过的巨大观音灯照亮行人，也照亮九死一生侥幸活下来的皇帝。他静静看着眼前灯盏路过，终于平静的接受现实。手下请他回宫，仰面瞧观音的皇帝正欲回身，却突然瞧见对面桥上的熟悉背影。心跳烈烈逐渐复原，他平和的心境被残忍撕下，露出鲜血淋漓的旧伤。看着那便熟悉的侧脸，愣在原地久久不能回神。他想，这辈子能治他心病的人只有一个，哪怕死生都要与她一起。双C 1V1 HE
相亲对象是师祖马甲,躲山烟,原创-言情-架空历史-仙侠,连载,101223,1762844,"['灵魂转换', '女强', '励志', '爽文', '东方玄幻', '师徒']",2024-12-02,【钢铁直女女主x单箭头偷偷藏不住男主】【他暗恋的人是天上的月亮，而他不过是个解闷的玩具】青鹤出关后，机缘巧合下顶替他人成了外门弟子。本以为只是一场玩票，却意外发现了当今修士无人能够飞升的真正原因。顺带还收获了一个莫名其妙的相亲对象。沈凌客对自己的相亲对象不太满意，看她哪儿都不顺眼，比如性格呆呆的不够温柔，还喜欢喝酒。直到她持长剑如鹤立，挽剑花如虹晕，信手拈来，就轻巧地打碎了教习长老的盾，也打碎了他的种种偏见。——剑修当如是。直到沈凌客意外得知，他的相亲对象额头光洁，而本门隐世不出的师祖眉心却有一粒红痣。可那时她早已站在众人之前，孤身涉险，为天地开出路。---考核在即，青鹤为捂住马甲，打算对照着这位少年天才的水平适当发挥。刚握住沈凌客的手腕想探探根骨，就被他拂开——沈凌客神色正经，但耳尖微红：“你这人怎么随意拉人的手，流氓。”青鹤好冤枉，活了上千年，头一次被人说是流氓。---眼看着妖物作怪，青鹤打算去把妖魔一窝端了，背后却被一只手拉住。沈凌客神色复杂：“你要孤身前去？我与你一同……”青鹤耐心劝他：“你这个修为，去了也是送死。”沈凌客沉默不言，只能看她穿着翻红的嫁衣跳下山崖，而自己什么也做不了。---梨花飞舞，翩然而下。他靠近师祖，逼得青鹤只能直视他的目光。青鹤看见他瞳仁中映出了自己。沈凌客压下那些难以启齿的情愫，只低声求她一句保证：“师祖，不要再受伤了，可不可以？”
被始乱终弃的竹马他黑化了,剑名太阿,原创-言情-架空历史-爱情,连载,61869,1749899,"['强强', '宫廷侯爵', '天作之合', 'HE', '群像']",2024-12-02,    竹知雪x江淮霁   表面豪放不羁女流氓，实则神经大条的女主x前期克己复礼易脸红，后期不要face的男主    竹知雪打小就是京城一霸，仗着是长公主唯一后代、皇帝亲外甥女“欺男霸女”，“仗武艺横行霸道”，今日拳打太仆妹婿，明日脚踢丞相公子。十五岁那年，她做了个离经叛道的决定——跟着隔壁晋阳侯府的马车去东南吴郡操练水军。    得知此消息，京城里的权贵子弟皆松了口气。五年后，鸦茶攻入西南边境，她跟着大将军击退了鸦茶，回京受封赏。    未想她虽离京八年却余威仍在，京城人人自危，无人敢招惹她，只有那新上任的小古板廷尉敢在太岁头上动土，在庆功宴上下她脸不说，还老揪她行事的错处。“将军，按我朝礼制，您不能于白日纵酒。”“竹将军，按我朝官箴，您不能于市井口吐污言。”“将军，按我朝朝仪……”“将军……”竹知雪对此有六点要说：“……”于是她在江淮霁又一次追着她到酒肆门口时脚下一拐进了花柳巷，“今日我欲醉眠下处，大人还要同去？”江淮霁站在街口，进退不得，望着她进入花楼的背影，折断了袖中珍藏多年的竹笛。1v1双纯 
他在虫族做博主,芙可爱,原创-纯爱-幻想未来-爱情,连载,28656,1733487,"['年下', '星际', '直播', '虫族', '日常', '先婚后爱']",2024-12-15,妈妈曾教育赫林，男人不会做饭是找不到老婆的！于是再厉害的大哥，白天在外面徒步、滑雪、钓鱼，晚上也要赶在门禁之前回家，乖乖做饭。有一天，赫林穿了，开局三天上演荒野求生，遇上兰斯带着一队军雌。赫林：“……”再晚来几天，他庇护所都快搭好了！于是被捡回主星成了雄虫。太好了，反正不是直男！赫林没安分几天，等拥有了漂亮老婆，他在网络上运营的自媒体账号也火了。【做饭好治愈，我家雄主竟然超级喜欢这种口味！】【你们都不许学啊啊，不许，我要偷偷学】【vlog结尾那段在哪颗星球！好想去偶遇】赫林：重操老本行，只需略微出手——兰斯很庆幸，利用军功篡改了匹配度，让他得到一个总是那么奇奇怪怪的可爱雄主。赫林睡觉一定要盖住肚子，很害羞；喜欢开手动挡的飞行器；没有翅翼但跳伞滑雪都非常帅气；热衷把各种食材混在一起泡水喝。他的雄主很厉害，脾气又好，连直播都能火爆热搜。被兰斯套了千层滤镜·在线暴躁·美食&旅行博主·赫林：？？雌虫观众：【怎么这么像隔壁极限运动的超绝路虫？不会飞是真玩命啊】【不可能！绝对不可能！相信一生一世一双虫还是相信雄虫会做饭】【老师老师再更十条视频呢请问】正值春寒料峭，掉马的赫林带着老婆踏上了星舰的新航线，背着摄影装备，枸杞泡水，人淡如菊。——【痞坏狼狗心思浪漫攻（赫林）x稳重包容只对攻乖软受（兰斯）】1.双洁，1V1，互宠，he，日常小甜饼2.架空虚构背景，与现实无关，请勿代入现实3.婉拒极端控党，看文开心就好==========预收分割线==========      《虐文写成top1》      （生活小白腹黑肉食系攻x开朗钝感小痴汉受）小说《雄扮雌装之不做替身》、《首席只欢不爱九天九夜》、《真假雌君上位计》横空出世，火遍星网！接连几本虐恋情深，雌虫纷纷炸锅。【你是说雄主把我当替身，十多年独虐我一虫？直到大结局还真正爱上了我？】【疑似某雌虫在雄主迎娶雌侍前一天的幻想】【有没有一种可能，雄虫对我强取豪夺只欢不爱，我没有自由只能夜夜xx……今晚就梦这个！】而雌虫恨不得顺着网线找过去，关小黑屋码字的作者，和他的命定开始了在各种奇怪的地方偶遇！——温弥穿到虫族，在偏远星长大，为了隐瞒雄虫身份，饱受雌虫压榨和黑户的困扰。初见珀西，他是军训教官，温弥是学校医务室的实习助理。因为清俊的样貌，被同事当成雄虫调戏，隐形骚扰，温弥在愤怒中重拾蓝星文学，写下《雄虫的天价小跟班》。再见珀西，他是执法官，温弥是见义勇为的路虫。因为黑户身份被迫辞职，温弥在奔波生计中含恨写下《众叛亲离后他带球落跑》。三见珀西，他是探案卧底，温弥是重操老本行的黑市医生。见惯了脾气火爆、大雌子主义，还时不时跟他赊账的粗鲁雌虫，温弥写下《霸道雄虫的蚀骨娇雌》。一本比一本炸裂！原先出于恶意的狗血虐雌文，反而让温弥赚得盆满钵满，就在即将收手的时候——四见珀西，他是稽查员，温弥是被绑来舰上给星盗看病的倒霉蛋。很快被顺利解救，人身安全，温弥冷笑着写下《囚雌和他的五个星盗雄主》。【你是说雄虫让我不要痴心妄想，我得不到他的心只能得到他的身？还是五个？】【啊啊啊吃得这么好，让我演两集】【老师每本都在努力虐雌，爽到了嘻嘻嘻】【我最初以为老师是做梦的纯情小雌虫，后来发现像外星人？但凡了解虫族都不会写得这么离谱？】【嘘，别告诉老师】最终温弥和珀西定居主星，他偷偷开了马甲，写下《战死十年的军雌回来了》、《婚后心动有点甜》。【？？】【感觉写到真的了】
祝祷月亮,宇宙真美啊我操,原创-纯爱-近代现代-爱情,完结,210115,1731922,"['强强', '生子', '破镜重圆', '相爱相杀', '现实']",2024-12-06,结束卧底生活的第五年，季苍兰亲手关进去的罪犯越狱了。一个月后，他收到了三枝折断的花。又名《如何让冷酷有一点情的渣攻跪在地上唱征服》1x1，he全文架空，狗血烂俗
公主要和女巫贴贴了,一支朵朵香,原创-百合-架空历史-爱情,完结,196080,1725121,"['幻想空间', '西方罗曼', '女强', '励志', '御姐']",2024-12-09,冷淡沉稳【女巫】 x 乖巧但腹黑绿茶【公主】  女巫红花被吃了。  她把“新红花”养在高塔。哄她睡觉，给她洗澡，送她宝石...  红花公主也乖巧，就是有点粘人...女巫再一次把腿上的八爪鱼提溜开，无奈叹气  后来女巫按约送公主回城。然而公主突然就不乖了，像小狗一样在她身上闻来闻去，最后捏着她的下巴警告：不许离开我  再后来，她俩的嘴巴莫名就贴上了  女巫抿着嘴  嗯，好亲的，还想亲  于是次日她又亲了一口，却被公主指着鼻子骂恶心  女巫伤心了，离开了...--公主视角  薇尔薇特从小住在塔尖尖，每天趴在窗边等女巫回来，无聊时就拿出宝石把玩  宝石和女巫都是她的，所以，女巫是茱尔（jewel)  嗯，没有问题  后来她发现茱尔不过想用自己的命复活白月光  所以，她断发和女巫一拍两散  但是，想了又想，气不过。谈了那么久恋爱，就亲个嘴？越想越气，她捏住女巫下巴  “喂，交易，你给我，命给你”阅读提示：*he 1v1 双洁 无白月光*HHL*俩女主都避世（女巫太强）*公主第七章成年，成年前没爱情
为了养老婆我权倾朝野,道心求稳,原创-纯爱-架空历史-剧情,连载,32862,1708441,"['宫廷侯爵', '情有独钟', '平步青云', '爽文', '朝堂', '权谋']",2024-12-15,末世第十年，萧明渊终于和三只丧尸皇同归于尽，却穿越成大景王朝萧国公府嫡长孙。是嫡长孙不假，但是却年幼丧母，险些被生父宠妾养成五毒俱全的废物。萧.top癌.膝盖弯不下去一点儿.明渊：纨绔是当不了一点儿的，至少要搞个权臣当当。一开始，萧明渊打算扶持一个看得顺眼的傀儡上位。直到遇上同病相怜的小皇孙，萧明渊开始盘算，当权臣很香，当老婆的权臣更香！阅读指南：主攻主攻主攻！萧明渊攻，末世穿过来的极度疯批阴暗心狠手辣，心狠手辣阴鸷大权臣养成宠溺权谋文。主视角攻，受出场较晚，攻受互宠偏攻宠受，就爱养老婆就爱养老婆！轻松小白文尽量逻辑圆满不喜欢求放过。
屏屏的种田日常,纸豆,原创-言情-架空历史-爱情,连载,79434,1685748,"['穿越时空', '种田文', '美食', '甜文', '日常', 'HE']",2024-12-07,盛屏穿越了，一来就披麻戴孝手捧灵牌嫁死人。寡妇、小产、阴婚，面对这样的天崩开局，盛屏恨不得天立刻就塌！好在峰回路转，阴婚的丈夫突然活了，还带她去了乡下。盛屏以为她的苦日子就要开始了，不料相公靠谱，村民淳朴，姐妹齐心，她过上了围炉煮茶、侍花弄草的田园生活。然而好日子因为县令的到来戛然而止。八岁的成王封地岷县，人还没来，就要大兴土木，圈地雇农，山林间动物四窜，田地里村民哀嚎，房屋一夕被毁，村长被迫带领村民迁出荣山村。盛屏秉持着打不死我只会令我更强大的念头重头再来。面对匮乏的资源，盛屏整合、修房、种地、开店、办厂，励志成为在古代开超市的第一人。乡绅刁难，长史打压，盛屏毫不退却，披荆斩棘，手握菜篮子工程，搞美食、开饭店，终成一代商业传奇。某天，盛屏遇到昔日原主的旧情人，那人缠上来，对她嘘寒问暖，怜她后半生要在乡下蹉跎，欲在城里给她租个房子，开个店，只要三不五时与他泛舟游湖、花前月下足矣。盛屏拉来相公先花式秀恩爱，再狠狠教训他一顿，叫他知道如今的盛屏早已脱胎换骨，不再是从前那个单纯的、盼人救赎的可怜女子。日更~
靠休夫飞升后翻车了,一路晓星,原创-纯爱-架空历史-仙侠,连载,86307,1675043,"['年下', '情有独钟', '仙侠修真', '成长', '轻松', '龙傲天']",2024-12-14,—人修和精怪从来势不两立，人参化形的姜枕是知道的。但他不知道的是，连天界都有歧视链！飞升那日，他衣袂飘飘，位于天界西门。守兵却告诉他，凡是妖族的，没走后门，还没有亲戚的，都不能成仙！于是他被踹下界了。从大乘修为变成了辣鸡练气。姜枕：“……”没事，他心态很好，可以忍。要走后门，要靠亲戚是吧？！姜枕盯上了仙界那位下凡历劫的高岭之花。.最近当明剑宗的大师兄谢御很苦恼。原因无他，他本是天之骄子，七岁筑基，十五岁金丹，本前途无量。此去秘境，是为了一冲元婴。可他碰到了一个人，那人说是他前世的妻子。废话，傻子才会信吧！！！但冷言驱逐也好，温言劝慰也罢。眼前的娇弱少年活生生是个小枕头，怎么吹都不动！无法，大敌当前，谢御只能跟他在秘境相处一段时间。有一次，就有二，三，四，五……然后，他们就成亲了。然后，他的妻子为了给他挡刀，没掉了。再然后，谢御心痛而亡后，发现他的道侣，居然是一个利用他飞升的大骗子！———姜枕费了九牛二虎之力跟谢御成亲了。他原是舍不得用休夫来伤害谢御，在天界一战成名的。结果谢御腼腆地告诉他，自己可能修的是无情道。姜枕服了，当即死遁，只留下一封休书。飞升当晚，姜枕听见谢御在凡间心痛而亡很慌。随之，他看见那个冰冷如山的仙君走至跟前，背手负剑，声音低哑：“说起来你可能不信，前世，我是你的夫君。”“……”似曾相识。你修的无情道是假的吧！！！！有点笨但是事业心拉满受+修不了无情道硬修的冰山攻Ps:推推自己下一本的预收《死敌他的分身爱我》，感谢各位天使，吧唧吧唧。
恋综，但在修真界,江风野,原创-言情-架空历史-仙侠,连载,42041,1658375,"['甜文', '穿书', '直播', '轻松', '沙雕']",2024-12-17,致全体修真界：合欢门盛情邀请各位俊男靓女参加《心动的修真界》直播恋综，最佳情侣有望获得合欢门秘不示众的至宝。还望诸位踊跃报名，积极参加。                                    ——合欢门圣女-这歪门邪道又要耍什么花招？天才剑修冷酷地揭下邀请函，揭穿阴谋他要，至宝他也要。圣女：比赛结果将关联到队服和住处。冷酷剑修：她定是用缚灵锁编织队服，在住处设陷阱！圣女：输掉的情侣要完成吃饼干游戏。冷酷剑修：她要么在饼干里下毒，要么在唇齿间下毒！圣女：选择心动嘉宾，写下你印象中的TA。冷酷剑修：圣女！心思歹毒，不择手段！可他还在假正经装高冷的时候，猛然发现另外两位恋综男嘉宾也齐刷刷地也写下合欢圣女。剑修红眼看着和自己搭档，分明是能将圣女堵在墙角的身形，却像一个摇尾乞怜的流浪狗：“别看他们，只看我。”圣女一下就睁圆了杏眸，双手轻拢在他耳畔用气声吹着悄悄话：“营业还要做到这个地步吗？”【又怂又勇小太阳女主&疯狂脑补strong哥】欢脱沙雕小甜饼^O^/
隔壁糊咖为夺系统诡计多端,无效块,原创-言情-近代现代-爱情,连载,90032,1651194,"['天作之合', '业界精英', '系统', '暗恋']",2024-12-04,原名《隔壁糊咖是想夺回系统吧？》*【真挚笨拙小纯洁X心机钓系粘人精】【事业狂服装设计师X万人黑过气音乐人】【蓄谋已久/暗恋成真/近水楼台/绑错系统遇对人】*搬好家的季芍礼，刚夸完隔壁露台花团锦簇，下一秒，就发现那里还躺倒了一个人。“搬家第一天，隔壁就成了凶宅是一种怎样的体验？”幸运的是，人没事。倒霉的是，这个随地大小睡的人是个万人黑过气糊咖，自己还阴差阳错误绑上了他的园艺系统！搞错宿主的系统：【绑都绑了，新手任务，先添个5盆绿植吧，so easy～】然而，买了4盆再加上隔壁糊咖送的1盆，任务完成进度竟是-1，还受到了惩罚！戳戳手指的系统：【绑是绑了，数据还在原宿主那边没同步过来……】事业狂被掐住命脉，还能咋办？硬着头皮给邻居送花呗……什么！还要给他的植物浇水100次！这我怎么搞？怎知糊咖竟主动提出要她帮忙浇水，恍然大悟的季芍礼：噢～是来夺回系统的吧！既然如此，那就顺水推舟咯～*完全不知道有系统这回事的陆裁风：嘿嘿那个多年前救过自己、美丽又善良的她搬回来了～【糊咖爱情大作战复盘笔记】一、主动邀请她做饭搭子，八大菜系中西法日轮番上阵。二、进组一个月见不到她，借口请她帮忙浇水加强联系。三、被她知道我的黑料，赶快学习流泪喵喵头，尾音务必加上波浪线。四、腹肌非常有用！仰卧卷腹、俄罗斯转体、平板支撑，每天统统多加两组！*终于，努力配合陆裁风“夺统大计”的季芍礼，发现系统的绑错也许是冥冥中的注定，命运早在多年前的那个春日就已泼墨挥毫。【系统：嘿嘿嘿一切尽在掌握中～】于是露台开出一丛小玫瑰。
护法他对我芳心暗许,灵动乌龙茶,原创-纯爱-架空历史-仙侠,连载,66925,1649302,"['仙侠修真', '重生', '甜文', '忠犬', 'HE', '追爱火葬场']",2024-12-09,本文又名：护法暗恋我却不长嘴所以现在该我明恋了直球追爱魔界尊主攻 x 忠犬痴情寡言护法受这本主要基调是甜宠剧情流~慕玄临作为魔界尊主，无论是地位还是修为，都是站在魔界顶端的男人。可他却在每年最虚弱的闭关之日，遭心仪许久之人萧景背叛，被人一剑捅了对穿。于是他成了魂魄，看着星夜谷陷于敌手，看着从前的手下四散而去，一切都物是人非。只剩那个沉默着跟在他身边数年、从不惹眼的随身护法，仍守在他的尸身前殊死拼杀。明明已是强弩之末，却一刻也未曾动摇。最后那人终于力竭，被萧景捆在致命可怖的乌藤之下。这时他才第一次知道，原来从很久的以前开始，僭越的爱意便已在青栩心中无声破土，生根抽芽。可那心意，青栩从未让他慕玄临察觉出分毫。再睁眼时，慕玄临重生了，他惊喜地发现，他的魂魄归于肉身，他竟重新回到了魔界。可下一刻，青栩却在他怀中死去。重生的前任魔尊有两件事要做：救老婆、报血仇。修为所剩无几，手下只余寥寥，前路怎么看都疑团遍布，危机重重。不过慕玄临表示，这些都没在怕的。他只想问一个问题。青栩回来了，青栩还爱他，这很好。但人为什么不给他抱了？（感谢每一个来看我书的宝宝 我会努力越写越好哒~~）
暗栖,猫肖余,原创-言情-架空历史-爱情,连载,44636,1644776,"['系统', '穿书', '成长', '先婚后爱', 'HE', '抽奖抽卡']",2024-12-10,独立清醒小医官vs内里疯批四皇子桑风禾本是一名中医，一朝穿越为四皇子的未婚妻。原以为她可以解除这父母之命媒妁之言的婚姻，谁曾想系统竟让她将四皇子的耳疾治好并助他登基，如若不完成任务，那她便不能回到现实世界。她第一眼见到这位四皇子时，便知晓这人并不像他表现得那样温润。不知为何，那人对她总是如陌生人一般。她总听他称呼自己为桑二小姐，温润疏离，可她深知他的本性并非如此。*西楚国的质子笑着问他与桑风禾之间的感情如何。他只是轻笑一声，淡淡道：“燕世子莫不是忘了我为何娶她。”那人心中有些怀疑，再次询问着他的感受。祈元嘴角勾起一抹讽刺的弧度，缓声道：“你认为她嫁予我便没有私心吗？”她知道自己的确有私心，一心想要完成任务回到她原来的世界。她也明白祈元对她并不甚在意，甚至有些厌恶。在治好他的耳疾后，她便如他所愿，不再去主动寻他。本以为二人见面的机会越来越少，没曾想他在自己面前出现得越来越频繁，甚至远超过她来寻他的次数。*后来，东宫之中，他将她拉入怀中，右手摩挲着她的唇，顺着她的唇边抚到微微跳动的脖间，口脂沾染在他的手上、她的脖间。他靠近她的侧脸，左手揽在她的腰间，滚烫细碎的呼吸似细碎的火焰，溅落在战栗的肌肤上，眼里闪过一瞬疯狂。“我后悔了，后悔为何没早些爱上你。”*听闻那四皇子英俊温柔，本是当之无愧的太子，可谁曾想，他的耳朵在一夜之间失聪了。他对此不曾解释。民间都传言说他的耳朵失聪定是上天的旨意，一定是上天的安排。他嗤笑一声，手中的杯子滑落，心中只想太子又如何，他不愿当。几年后，他成为了皇帝，旁人好奇地问他为何突然改了主意。他只是朝着她在的方向笑了笑，缓声道：“因为这是她所希望的，那我便情愿当这个皇帝。”阅读指南：1.古代架空                2. 1v1  sc注明：相关医疗专业知识来自于网络视频整理，勿考究男主能看得懂唇语，交流不是问题
金融狗在年代文里搞事业,邪恶树懒,原创-言情-近代现代-剧情,连载,50293,1639691,"['时代奇缘', '女强', '爽文', '升级流', '都市异闻', '对话体']",2024-12-04,【日更三千，已开启段评，欢迎留言～】金融狗在年代文里搞事业金融民工——邱时微努力搬砖多年，一觉醒来竟变成年代文里的小炮灰！更惨的是原身是舞蹈演员，而她四肢不协调一点天赋都没继承到。邱时微：？？她能怎么办，上台打算盘吗？为了生存邱时微只得重操旧业，干起了老本行。财大气粗女配，攻略成功！小小供销社售货员考试，拿下！面对极品同事刁难丝毫不惧，直接打脸！商业局要抽调人员进行会计培训，我来！在七十年代，从零开始，再创事业辉煌。————————————————————邱时微最近很苦恼。她明明只想好好搞事业赚钱，谁知周围人都太关心她的人生大事了，直系领导有意要给她介绍对象？听说对方是家里独子，家庭条件好，嫁过去婆婆就能帮忙带娃，三个已经出嫁的姐姐也能分担压力。姐姐？还是三个！嫁过去岂不是要一直怀孕直至生出耀祖？吓得她赶紧拉过同院听说不举的小白脸。“不好意思，我有对象了。”传说空军大院的季昱辰一直不婚是因为早年受了伤导致不孕不育！面对各方的催婚，无心婚姻的季昱辰默认了这个说法。女人只会影响我拔刀的速度！遇到老婆后……季昱辰：！！谁说的，害我名声。————————————————————后来。邱时微利用完工具人，拍拍屁股走人，却被追来的小白脸堵在新家。上演一出回家的诱惑。男人禁锢住她的后腰，抓着她的手带向自己的腹肌，嗓音低哑带着蛊惑：“姐姐，和我回家好吗？”邱时微一时沉迷于男色之中，被诱惑着答应，清醒过来刚想反悔，却被看穿心思的男人堵住：“你可以做你任何想做的事情，只是带着我好吗？”女主搞事业为主，事业线60%感情线40%
