排名,书名,作者,类型,进度,字数,积分,标签,时间,简介
43,可爱过敏原,稚楚,原创-纯爱-近代现代-爱情,完结,559247,14962098176,"['花季雨季', '情有独钟', '青梅竹马', '美食', '轻松']",2020-08-11,自打六岁那年爸爸领回来一个混血小宝贝，宋煜的人生就彻底被这个黏黏糊糊中文都说不好的小家伙缠上了。幼儿园时期的乐乐：小煜哥哥，我同学今天说他有漂亮嫂子了，嫂子是什么？宋煜：他哥哥的老婆。乐乐：No!我不要嫂子！宋煜：……乐乐：我当你嫂子！（哪里不对……宋煜：请你好好学习中国本土的亲戚关系。乐乐：不对不对，我当我嫂子！宋煜：……口嫌体正直年上猫系攻VS混血乖巧直球奶狗受1、竹马年上养成，平淡日常文（有波折） 有很多吃吃吃的场景，喜欢快节奏的慎入2、受出场时初三，攻受无任何血缘关系及法律上的亲属关系，寄住，不是一个户口本。3、攻宠受，双箭头很粗，本质是弟控x兄控，不喜勿入，不适合极端控党。4、可爱受，不是强受，不喜勿入5、有百合向配角，戏份不多，不喜勿入6、一点波折都不可以接受的勿入，有波折，有波折，有波折，不是纯甜饼7、一句话简介是快本里张雨剑的梗，因为jj要求不能写“哥哥”改成了竹马8、谢绝换头，请勿侵权9.故事背景架空，情节虚构，请勿较真《be狂魔求生系统》那一对会出现几次，其他文主角不会客串。
44,恒星时刻,稚楚,原创-纯爱-近代现代-爱情,完结,773866,14811935744,"['强强', '情有独钟', '天作之合', '正剧']",2024-04-27,【已完结，副CP严迟番外已完结，点击专栏免费《番外合集》阅读】初遇时，秦一隅在家门口看见表情冷淡还攥了个酒瓶的南乙，以为是来讨债的。但他却说：“我在组乐队，要参加比赛，缺个会弹吉他的主唱。”秦一隅：得，还不如讨债。但他最后还是答应了，因为不想错过这么天才的贝斯手。——后来——南乙：秦一隅对我而言就是一枚靶心。秦一隅：（恍然大悟）喜欢我。南乙：我们可以做朋友。秦一隅：懂了，唇友谊，虽然我是直男但不排斥和你接吻。南乙：（呼吸）秦一隅：他好爱我。——-——比赛时，无人看好这支新乐队，就连工作人员都在后台议论。“贝斯手帅是帅，但脸又不能当饭吃，鼓手听说脾气差到差点现场打人，键盘手好像是被辞了的银行社畜，再加上一个人气高但是人很烂、还被前乐队踹了的主唱，就这种临时搭起来的草台班子，能赢？”偏偏四人就在身后。严霁：“拉齐一下，我是主动离职不是被辞，是投行不是银行……”迟之阳：“你在狗叫什么！我脾气哪里差了！”秦一隅：“这么长一串就前四个字能听。我这么完美的人，骂我的要么是我深柜，要么就是小提琴转世——没品的东西。”工作人员：（尴尬）（冷汗）（语塞）南乙冷淡道：“借过，草台班子要上场了。”[精神状态一看就不稳定·自我攻略·攻  ][看着很稳定其实也挺疯·爱而不自知·受]主唱x贝斯手兼主唱
45,剑名不奈何,淮上,原创-纯爱-架空历史-仙侠,完结,543266,14754974720,"['强强', '豪门世家', '仙侠修真', '重生', '正剧', 'HE']",2020-12-24,传说天下第一人徐霜策有一幅亡妻遗像，但没人知道画像背面，是当年被徐霜策亲手诛杀的那位宿敌。十六年前，仙盟刑惩院大院长宫惟身怀利刃上升仙台，暗杀徐霜策不成，反被不奈何剑立毙当场。十六年过去宫惟一睁眼，发现自己重生成了一个满脑子塞稻草的漂亮蠢货，见了徐宗主还得跪下来回话。除此之外还有一件更闹心的事。 因为前世形容俊秀、位高权重、年轻早死，如今他是无数民间创作者的挚爱，整个三界九霄都流传着以他为主角的各种拉郎话本，所有名门大派都流传着他与各位宗师的禁断传说。人狠话不多高冷隔云端凶残大佬攻&骚话嘴边讲B数心中藏凶残皮皮受每周更六休一，出差会提前请假微万人迷倾向注意
46,我喜欢你男朋友很久了,酱子贝,原创-纯爱-近代现代-爱情,完结,137890,14700610560,['轻松'],2020-01-17,裴然最近有两个发现：1.他交往了三年的男朋友似乎出轨了。2.他男朋友的舍友看他的眼神，似乎不大对劲儿。短篇，没什么剧情随便写的，大家随便看
47,人渣反派自救系统,墨香铜臭,原创-纯爱-架空历史-爱情,完结,432198,14504182784,"['灵异神怪', '情有独钟', '仙侠修真', '穿书', '轻松']",2014-09-21, “还能不能好好看种马文了！”沈垣穿书，穿成了把少年男主虐到死去活来的人渣反派师父沈清秋。要知道，原作沈清秋最后可是被洛冰河活生生削成了人棍啊人棍！沈清秋：“不是我不想抱男主大腿，可是谁让这男主他妈的是暗黑系，有仇必报千倍奉还的类型啊！”为什么女主们应该走的剧情都要强加给他。为什么作为一个人渣反派却要不断地为主角挡刀挡枪舍己为人？沈清秋：“……我觉得我还可以再抢救一下。”小白花黑化少女攻×伪斯文败类吐槽狂魔受这其实是一个师徒每天不务正业，吃饭睡觉打豆豆，随便黑化一下，谈个恋爱，顺手拯救一下世界的狗血故事 O(∩_∩)O~PS：●非正统修真，各种奇葩各种槽，新人第一篇文求温柔 ＞ ＜●为了创造一个纯粹的书评环境，评论区希望大家可以专注讨论小说本身的内容~请不要讨论其他内容，更不要因此吵架，不要以任何理由互相攻击哦！如果看到不合适的评论，无需回复，轻点投诉即可。守护评论区需要每一位书友共同努力，谢谢大家了！●感谢大家为了保护首刷读者，忍住剧透和预警剧透。不过，晋江有规定评论不能是大段无意义的重复内容，会被清理掉的。所以，如果是想提醒首刷读者小心评论剧透，轻轻地简单提醒一句就好啦，不用叠罗汉昂。
48,陷入我们的热恋,耳东兔子,原创-言情-近代现代-爱情,完结,478277,14184032256,"['天之骄子', '励志', '甜文', '轻松']",2021-08-03,【全文完结。】高考结束，徐栀成了睿军中学最大的黑马，却没想到，因此她失去一段爱情。也是在那个夏天，她遇上了陈路周，一个恃帅行凶的混球。徐栀觉得陈路周很亲切，朋友震惊，他明明是个拽王啊。陈路周以为徐栀想追自己，朋友也震惊，她明明有男朋友啊。徐栀：我觉得他可能是我失散多年的哥哥。陈路周：我怎么知道，我也很烦，明明有男朋友。文案废。排雷：沙雕，慢热，群像，平淡日常，男主视角多，男朋友是个乌龙。【一个很严肃的提醒：不要去任何包括但不限于扣扣、网易云等音乐、抖音、小红书等等的书中相关引用歌曲的评论区以及跟我文不相关的评论区去提我的文，不要打扰别人。谢谢大家！】“希望世俗不要对我的女孩有偏见。”
49,告白,应橙,原创-言情-近代现代-爱情,完结,438846,14171856896,"['情有独钟', '天之骄子', '业界精英', '正剧']",2020-11-18,《告白》实体书上、下册已上市，各大电商平台有售^1大学时，周京泽和许随是云泥之别，永远不会有交集的两人。一个随性浪荡，众星捧月，一个乖巧安静，容易被忽略。她在图书馆写完一张又一张试卷时，无意窥见他与别人的暧昧风月，也目睹过他换了一个又一个的女朋友。一次聚会，许随醉酒，在一场起哄中鼓起勇气告白。周京泽愣了一下，随即挑起唇角漫不经心道：“不好意思啊，你太乖了。”2再重逢，他依旧是天之骄子，多次有意无意地相遇，许随将自己曾经不该有的想法藏得很好，和他保持距离。可他却步步紧逼，让许随无处可躲。终于，许随被抵在墙上哑声道：“为什么是我？”周京泽低头贴过来，热气拂耳，坏到了骨子里：“没有为什么，以前是老子眼瞎。”“明知隔太空，仍将爱慕天天入信封。”—《奇洛李维斯回信》 痞帅飞行员X乖乖女无原型/具体排雷见作话第一章灵感始于2018.11.文案于2020.6.11
50,一个钢镚儿,巫哲,原创-纯爱-近代现代-爱情,完结,675338,14135513088,['轻松'],2017-08-13,这个小结巴我罩了。HE。更新时间晚上七点四十。封面字体感谢@零雨其蒙蒙！小线人感谢@二喜砸果叽！
51,无限练习生,妄鸦,原创-纯爱-近代现代-剧情,完结,945205,13764307968,"['情有独钟', '无限流', '相爱相杀', '穿书', '爽文', '直播']",2020-10-31,落魄魔术师宗九穿书了他穿到一本恐怖无限流选秀文里，成了书里那个第一轮评比就惨死的花瓶炮灰这个选秀很有意思，上万人里一共只能出道一百人，c位出道还能得到一张万能许愿券这要换成别人，恐怕当即就得吓死没想到宗九不仅不怕，还一路浪得飞起，骚操作频出一通操作下来，活是安稳无恙地活了，和全文最大反派的梁子也就此结下今天你阴我一下，明天我反手搞回来，有来有往，还挺乐呵结果浪归浪，某一次不小心还真就浪翻车了看着把他按在地上的宿敌，宗九懒懒地抬眸，“要杀就杀，别废话。”身处劣势，却一丝畏惧也无，反倒继续作死挑衅那人用冰冷的手指研磨着他的耳根，按向大动脉的动作骤然顿住“真遗憾。我改变主意了。”-他曾经很乐意亲手赐予宗九死亡日夜遗憾不曾剜其血肉，亲手扼断脖颈可真让这人落到他手上后，另一种更迫切的渴求却如野草疯长比起输赢，更想看看他哭着喘着，眼尾发红的求饶模样【书籍原名：惊悚练习生】【书籍出版名《默菲斯契约》】【书籍广播剧：指路猫耳FM】【请不要在我的文下提到别的作者的文，也不要到别的太太文下刷这本文，谢谢尊重与配合】【疯狂马戏团副本的跑团模式并非我原创，连载期间作话都有说明，包括文中其他一些司空见惯的内容【请尊重所有努力产出的创作者】不要打着本文的旗号到其他太太的文下出警，这会对我造成困扰，谢谢合作】
52,我是卷王穿越者的废物对照组,若星若辰,原创-纯爱-架空历史-爱情,连载,807311,13496932352,"['甜文', '轻松', '对照组']",2024-05-08,【恐同笨蛋美人vs阴暗疯批卷王，双穿，晚12点更】时书一头闷黑从现代身穿到落后古代，为了活命，他在一个村庄每天干农活扫鸡屎喂猪喂牛，兢兢业业，花三个月终于完美融入古代生活。他觉得自己实在太牛逼了！却在河岸旁打猪草时不慎冲撞梁王仪仗队，直接被拉去砍头。时书：“？”时书：“操！”时书：“这该死的封建社会啊啊啊！”就在他满腔悲鸣张嘴乱骂时，梁王世子身旁一位衣着华贵俊逸出尘的男子出列，沉静打量了他会儿，缓声道：“学习新思想？”时书：“……争做新青年？”谢无炽面无表情：“6。”这个朝代，居然、不止、一个、穿越者。-同穿古代却不同命，谢无炽救时书一命。时书感激的找他闲聊：“我已经掌握了这个村子的命脉，你要不要来跟我混？吃饱到死。”谢无炽看了看眼前衣着褴褛的俊俏少年，淡淡道：“谢了。我在梁王座旁当谋士，生活也挺好。”“……”感受到智力差距，时书忍了忍：“那你以后要干嘛？”“古代社会，来都来了，”谢无炽声调平静，“当然要搞个皇帝当当。”一心一意打猪草的时书：“…………”-谢无炽果然心思缜密，心狠手辣。时书惊慌失措跟在他身旁当小弟，眼睁睁看着他从手无寸铁的新手村黑户，积攒势力，拓展版图，逐渐成为能逐鹿天下的雄主。连时书也沾光躺赢，顺风顺水。但突然有一天，时书发现这是个群穿系统，只有最后达到“天下共主”头衔，并杀光其他穿越者，才能回到原来的世界。“……”一个字：绝。时书看看身无长物只会抱大腿的自己，再看看身旁手染滔天杀孽、智谋无双的天子预备役谢无炽。——他还不知道这个规则。时书深吸了一口气。当天深夜。时书拿着一把短刀，衣着清凉，白皙肩头微露，诚惶诚恐爬了谢无炽的床。躺鸡甜弟vs卷王大爹*排雷：攻有性｜瘾，身心双洁，就情趣用的
53,这该死的求生欲[穿书],望三山,原创-纯爱-近代现代-爱情,完结,946031,13419676672,"['灵异神怪', '穿书', '爽文', '玄学', '轻松']",2021-06-12,【全文完结】1.《恶鬼》这本书讲的是主角受池尤被人害死后，在主角攻冯厉的帮助下修炼复仇的故事。江落一觉醒来，穿成了害死主角受的炮灰。更要命的是，他穿来的时候主角受已经被原身害死。葬礼上，江落被人推到了棺材前。眼前的主角受遗容安静，嘴角还带着笑。江落却知道他已经化成了厉鬼，在身边虎视眈眈。越危险的时候江落越冷静，在求生欲冲到了临界点时，他噗通一声跪在地上，逼红眼睛。情感真挚道：“池尤，我好爱你，求求你别离开我…”低垂的眉眼遮挡住细微笑意。周围的寒气一窒，无人看到的恶鬼饶有兴致地看着江落演戏。2.主角攻冯厉是文里的第一天师，帮助池尤修炼成了人鬼之身。冯厉第一次见到江落时，这个身染鬼气的族中弟子目中无光，脸色苍白。冯厉冷淡道：“你身边有个想杀你的鬼。”可出乎他的意料，眼前的男人竟然眼前一亮，焦急朝四面大喊：“池尤，是你对不对？”冯厉不由伸手接住江落的眼泪，可下一瞬，泪水就变成了猩红血滴。他抬头和恶鬼冷冷对视。恶鬼微笑道：“别碰他。”伪善恶鬼疯批攻v心黑爱忽悠演技帝受【强强】①1v1，cp池尤②平行世界式架空，我们要相信科学③祝看文愉悦，vb@晋江望三山④请不要在本文下提别的文，也不要在别的文下提本文，谢谢~2021/2/6，已截图——预收《总有人阻止我权倾朝野》：商界大佬商君洛死后穿越到古代，成了一个正被拐卖的可怜孩子。原主真实身份其实是安国公府的唯一继承人，安国公府在弄丢原主后就过继了嗣子。不久之后，安国公府将会找回原主，奈何原主天资平平，硬是被过继的嗣子暗中挤兑得抑郁而终，让安国公夫妇失望不已。商君洛冷笑一声，当即在安国公府找来之前提前一步逃走，并设计让一对路过此地的官员夫妻收养了自己。得不到的才是最好的，只要他这个亲子一日找不回，安国公夫妇只会对他越发念念不忘，对嗣子百般挑剔。满心算计全被商君洛掩盖在风光霁月、恬淡无欲的外表之下，最终，他在科举之路上步步登天，高居金榜之首。夸官那日，因怀念亲子而憔悴万分的安国公夫人看着那芝兰玉树、恍若仙人的年轻状元郎，忽地震惊站起，眼泪一瞬而出。*见过商君洛的人无不惊艳，称其“一见商君洛，惊动洛阳城”。似乎只有完美二字才能形容商君洛此人。权势滔天的摄政王却不这么觉得。他在见到商君洛的第一眼起，就知道此人与他一样，都是心狠手辣着迷权势之辈。同类厌恶同类，为了权势可以不择手段之人唯他一个就好，多了，这朝堂就乱了。摄政王漫不经心地转动手上扳指，淡淡吩咐道：“把他处理了。”
54,幻想农场,西子绪,原创-纯爱-近代现代-爱情,完结,700012,13403993088,"['灵异神怪', '都市', '种田文', '市井生活', '正剧']",2018-08-11,被辞退的陆清酒终于决定回到了老家种田。起先，他养了一头猪，然后他发现猪会做的高数题比他还多。接着，他养了一群鸡，然后发现自己的战斗力等于十分之一鸡。最后陆清酒终于发现这个老家好像哪里不太对劲……特别是他身边某个天天对着两眼放光的某个人。陆清酒：“你到底是在对我手上的麻辣干锅流口水还是在对我流口水？”白月狐指了指干锅。陆清酒：“那你能不能先松口？？”白月狐恋恋不舍看了陆清酒的手臂一眼，松了牙。就算你们很失望，但我也得告诉你们猪真的不是攻_(:з」∠)_周四入V，谢谢大家的支持~本文已经出版，改名为《不离》想要实体书的宝贝们可以去搜一下~
55,残次品,priest,原创-纯爱-幻想未来-传奇,完结,959253,13372595200,"['三教九流', '未来架空', '星际', '正剧']",2017-04-05,“这是最好的时代，也是最坏的时代。”——狄更斯《双城记》   “我带着深藏骨血的仇恨与酝酿多年的阴谋，把自己变成一个死而复生的幽灵，沉入沼泽，沉入深渊，我想埋下腐烂的根系，长出见血封喉的荆棘，刺穿这个虚伪的文明。    我到了淤泥深处……捡到了一颗星星。”      偶像包袱三吨重的二百五攻 VS 城府深沉的流氓头子受 年下=w=更新频率：除周六外，每天中午十一点。周六看心情。感谢微博上“小-巫-婆”姑娘做的封面，么么哒4月30日、第二十三章开始VIP，独家发表，请转载的诸位尽快撤文，感谢支持正版~
56,三伏,巫哲,原创-纯爱-近代现代-爱情,完结,884063,12947702784,"['校园', '轻松']",2021-09-04,校园文。HE。晚7点40更。（这段时间暂时隔日更。1.24）文案在憋了就一直憋不出但是真的一直在憋……（可能憋不出来了10.17）封面感谢 @苏荼
57,悬日,稚楚,原创-纯爱-近代现代-爱情,完结,573822,12809614336,"['都市', '情有独钟', '破镜重圆', '正剧']",2022-06-25,宁一宵以为这辈子不会再见到苏洄。直到酒店弄错房卡，开门进去，撞见戴着眼罩的他独自躺在床上，喊着另一个人的名字，“这么快就回来了……”冲动扯下了苏洄的眼罩，可一对视就后悔。一别六年，重逢应该再体面一点。·-“至少在第42街的天桥，一无所有的我们曾拥有悬日，哪怕只有15分20秒。”·野心家攻x病美人受食用指南：1.插叙，章节名会有标注（N是现在章节，P是回忆章节），不喜插叙手法慎入2.受（苏洄）患有双相情感障碍，有描写病发的内容，慎入3.糖刀并存，前期刀子多，但糖也包甜，酸甜口，之所以视角标[不明]是因为攻受视角比较平均，前面攻多一些后面受多一些4.以免有读者好奇提问，先说在这里：攻受每个时期都没有任何其他伴侣，身心如一。5.感谢您的点击和评论，每一条我都会认真看~谢谢（笔芯）△封面里的冰岛黑沙滩照片cr：@快乐屁屁郭_
58,全能中单（电竞）,蝶之灵,原创-纯爱-幻想未来-游戏,完结,1076814,12775278592,"['强强', '情有独钟', '甜文', '爽文', 'ABO', '电竞']",2021-10-10,【全文完结，免费番外在电竞番外集】电竞选手叶少阳一场车祸醒来，发现自己穿越到神奇的ABO世界，成了一个菜鸟主播。为了养活自己，叶少阳决定重操旧业，去电竞圈闯荡。很快，他就凭出色的天赋，拿到了豪门俱乐部的签约合同。没想到，就在他来战队报到的这天，他当着队长池朔的面分化成了一个Omega。池朔带着新队友去医院做检查。检查结束后，男生清澈的眼里蒙上一层水汽，眼尾泛红，声音沙哑：“队长，医生说我抑制剂过敏，你能帮帮我吗？”池朔：“……怎么帮？”叶少阳干脆转身：“临时给个标记。咬一口，谢谢。”池朔的表情渐渐裂开。这个Omega怎么回事？标记是能随便给的吗？！-网友们：“据说天桓战队新来的选手是个Omega！”“他是打辅助位吗？大家一定要照顾好软萌可爱的Omega小辅助！”直到比赛时，中单选手叶少阳一手法师秀得飞起，捶爆对面，拿下五杀。对手们：“软萌？这是个大魔王吧？”“老子被他杀到自闭，都想卸载游戏了！”“团战可以输，叶少阳必须死！”“先杀那个Omega，不要手下留情！”——走位最秀，技术一流的Omega选手了解一下。谁说Omega一定要软萌、温柔？这位Omega能打爆全联盟。-1、文案发表于2020年7月，封面是两位主角的Q版。游戏背景、世界背景全架空，请勿对细节太过纠结。2、暴力输出性格爽朗从不把自己当Omega的受×沉稳腹黑有点矜持的Alpha队长攻。强强，攻受职业水平旗鼓相当。3、人权平等世界。不写O装B、Omega被歧视、信息素失控影响比赛等狗血桥段。这是一本轻松欢乐的ABO电竞文。4、喜欢竞技题材的可以看作者以前的完结文，欢迎收藏专栏哦~5、正文不写生子，不写副CP。谢谢小天使们的支持，爱你们！
59,非职业半仙,拉棉花糖的兔子,原创-纯爱-近代现代-轻小说,完结,687974,12731378688,"['灵异神怪', '现代架空', '爽文', '轻松']",2018-01-03,突如其来，谢灵涯成为了一个小道观的产权所有人。该道观左邻商业街，右靠广场，背后一个菜市场，可惜香火冷清，穷得叮当响。我们的目标是：开最大的道观，烧最粗的香！……谢灵涯：我无证抓鬼、算命、画符、看风水……但我知道我是好半仙！.指路排雷：每晚八点左右更新，半架空，有苏爽金手指有私设，还有跃跃欲试的感情戏。去留由君，砖花随意。微博：晋江_糖兔完结文：我开动物园那些年、大宋小吏、天庭出版集团、美味的我欢迎阅读~
60,别来无恙,北南,原创-纯爱-近代现代-爱情,完结,396342,12616404992,"['都市', '花季雨季', '破镜重圆', '业界精英', '正剧']",2019-01-01,番外在作者专栏【番外】中，无需订阅。相亲相到白月光，不料白月光性情大变。破镜重圆，猛吃回头草。三年前，顾拙言和庄凡心啪叽一撞，没撞出任何火花，擦肩而过。三年后顾拙言和庄凡心成为邻居兼同学，继而发展为初恋情人，最终以分手收场。又十年过去了，再度重逢，却发觉当时只道是寻常，这人怎么换了个德行……会分为少年时期和成年时期，也就是十年前十年后，不然穿插着写很精分。生活恋爱文/工作学习方面瞎编的/he预收新文《跨界演员》娱乐圈
61,跨界演员,北南,原创-纯爱-近代现代-爱情,完结,451334,12554259456,"['年下', '情有独钟', '娱乐圈', '正剧']",2019-12-01,入v公告：12.26入v，届时更三章。“我就是爱音乐，但成为了一个演员，还他妈不红。”18线小演员陆文，盘靓条顺情商低，演技有天分但极没眼力见儿，进组第一天就得罪圈内大编剧瞿燕庭。陆文：真不是故意的。后又以为瞿燕庭公报私仇、qian规则小鲜肉、为钱冠名脑残剧。陆文：娱乐圈真的好脏。在翻身与翻车之间反复横跳，pk流量小生，大胆发言，打脸节目组，真人秀抛弃剧本真情发言——陆文：我十分喜欢瞿老师。从18线到爆红到全网黑到一战翻身成神，二百五终于成为合格的大明星。陆文：感谢瞿老师的不抛弃不嫌弃！二百五狂爱音乐直率明星攻vs表面冷淡其实社恐八级编剧受，我为你提高智商，你为我治疗社恐，这大概就是爱情。年下，1v1，he。无原型，否则原型一辈子打酱油。封面鸣谢清和月既望~
62,铜钱龛世,木苏里,原创-纯爱-架空历史-奇幻,完结,394108,12496558080,"['强强', '灵异神怪', '情有独钟', '欢喜冤家', '正剧']",2016-10-15,天禧二十三年，坊间传言手眼通天的国师突遭大劫，不得不闭关潜修，百姓暗地里却拍手叫好。同年冬月，徽州府宁阳县多了一位陌生来客。来客法号玄悯，记忆全失，却略通风水堪舆之术，来宁阳的头一天，便毫不客气地抄了一座凶宅，顺便把凶宅里窝着的薛闲一同抄了回去。从此，前半生“上可捅天、下能震地”的薛闲便多了一项人生追求——如何才能让这个空有皮相的秃驴早日蹬腿闭眼、“含笑九泉”。薛闲：你不高兴，我就高兴了；你圆寂，我就笑死了。玄悯：……高冷禁欲大师攻（假的）x炸脾气乖张受（傻的）
63,她的小梨涡,唧唧的猫,原创-言情-近代现代-爱情,完结,257112,12435513344,"['都市', '轻松']",2017-01-28,本书已出实体书，五月上市，可去淘宝、天猫、京东直接搜索【她的小梨窝】，预售买有福利，实体书比网络版多了番外~初见你时真的不知道你这么楚楚动人让人垂涎欲滴      by大魔王脾气很差的问题少年，有一天，遇到了一个从南方来，胆子超小的转学生......同学们最近都在疯传，班上的大帅逼谢辞，好像盯上那个转学生了。某一天，许呦上早自习时，在课桌上发现了一张纸条：小可爱。我们北方人脾气都很躁哦。：）Tips：此文校园杀、回忆杀～～微博：@唧唧的猫
64,这题超纲了,木瓜黄,原创-纯爱-近代现代-爱情,完结,419370,12311825408,"['灵魂转换', '幻想空间', '甜文', '校园', '轻松']",2019-12-23,校园，互穿（间歇穿，会换回来的）七班许盛，从不穿校服，临江六中校霸史上最野的一位，各科均分30出头，处分通知拿到手软，隔三差五向全校进行检讨。烈日当空，少年声音张扬：“对不起，我下次还敢。”而号称考神的年级第一邵湛，高冷且不近人情。本应没有交集的两人却因为一次意外互换了身体。———老师看着结下梁子死活不愿意当同桌的两位少年。一个是他最头痛的不良学生许盛，一个是他引以为傲的优秀学生邵湛。老师沉吟两秒：“之前是谁说没有当同桌的缘分？”身穿黑色T恤和周遭格格不入的许盛倚着墙：“缘分来了。”老师看看另一个：“是谁说强扭的瓜不甜？”校服纽扣扣到最上头一颗，浑身上下像是刻着‘生人勿进’四个字的高冷学神：“强扭的瓜，不试试怎么知道甜不甜。”高冷不近人情屠榜杀手次次考第一学霸攻X翘课打架离经叛道学渣受邵湛X许盛 还是一本正经的搞笑文。强强你上北大，我上北大青鸟。内含瞎扯淡，不现实，有大量艺术加工，不要特意代入现实。和隔壁《学渣》同时间线，会有客串。微博：@炸天黄已完结文戳专栏。
65,两A相逢必有一O,厉冬忍,原创-纯爱-近代现代-爱情,完结,444590,11978259456,"['幻想空间', '甜文', '校园', '轻松']",2019-10-10,【该作品独家发布平台为晋江，其他任何平台的标注笔名为厉冬忍的作品非我创作且与我无关，请大家认准正版平台。保护自身的合法权益。】简松意出生的时候做了个基因检测，说他百分百会分化成一个顶级Alpha。于是他非常自觉地用十几年的时间成长为了一个日天日天的二世祖，校霸是他，校草是他，年级第一还是他。直到有一天小时候隔壁家的那个死对头转学回来了，不仅抢了他校草的位置，还抢了他的年级第一。最主要的是还他妈比他先分化成了一个顶级Alpha。对此，简松意表示，一山不容二A，不把柏淮这个王八犊子给赶走，他就不配当一个Alpha！于是老天有眼，当天晚上他就当着柏淮的面分化成了一只Omega。-简松意立志要当一只有骨气的Omega，就算他进入特殊时期了，就算他忘记带抑制剂了，就算他今天死在这儿了，他也绝对不会要柏淮标记他！柏淮只能低声哄道：“让我咬一口，期末考的年级第一，给你。”简松意受不了他信息素的诱惑，从了。等到考试成绩出来那天，简松意看着光荣榜上的“第一名 柏淮”，气得炸毛。“柏淮，你个大骗子！你又比我多考一分！”柏淮轻笑：“有什么不对么，我是年级第一，给你。”【ABO校园日常甜饼/无脑傻白甜/无生子/傲娇炸毛大少爷受X斯文败类攻】
66,骷髅幻戏图,西子绪,原创-纯爱-近代现代-悬疑,完结,716191,11967745024,"['魔幻', '惊悚', '天作之合', '悬疑推理', '轻松']",2020-02-08,林半夏好像被奇怪的东西盯上了。独自一人的家中总是充满了奇怪的异响，有敲击声却空无一物的衣柜，总是发出滴水声却并没有水的水龙头，还有窗外奇怪的咀嚼声。直到某个午夜。忽然醒来的他睁开眼，看到了一具白如雪的骷髅，趴在他家天花板上，扭过头咧着嘴冲他灿烂的笑。本文广播剧将于9月12日于网易云上线每天上午十一点更新~本文灵感是南宋画家李嵩的一副画：《骷髅幻戏图》，感兴趣的可以去搜搜看。本文纯属虚构，灵感来源克苏鲁和coc跑团，请读者们不要代入现实~感谢胖次太太提供的超可爱封面=3=周日入v，谢谢大家支持~
67,PUBG世纪网恋,酱子贝,原创-纯爱-近代现代-爱情,完结,430796,11880037376,"['情有独钟', '体育竞技', '甜文', '直播', '轻松', '电竞']",2018-10-18,玩游戏不咋滴胜在有钱有脸大老板攻 vs 刚枪贼6可爱骚话声控主播受本文又名《我的粉丝是我顶头老板》《你我本无缘，全靠你花钱》《全直播间水友都觉得我们在网恋》——吃鸡文，无原型不玩游戏也不影响阅读【非比赛】【日常】【直播文，弹幕较多】【逻辑半死不活，抢救无效，快乐就好】
68,杀破狼,priest,原创-纯爱-架空历史-爱情,完结,611067,11817466880,"['年下', '幻想空间', '正剧']",2015-01-23,HE【信我=w=温柔贤惠病娇年下攻VS废柴聋瞎受【信我=w=非主流蒸汽朋克=w=重要的事情说三遍：先出场的是攻！先出场的是攻！先出场的是攻！……但总体来看，本文不是主攻文=w=拜谢“骑驴看吧唧”同学的封面！更新频率为每天十一点整，有特殊情况会提前请假=w=专栏链接二月十二日周四VIP，以后长评送分，独家发布谢绝转载，请转载的诸位尽快撤文了，谢谢，再次感谢支持正版~
69,我死对头终于破产了,酱子贝,原创-纯爱-近代现代-爱情,完结,429794,11800274944,"['强强', '豪门世家', '情有独钟', '恋爱合约', '轻松']",2019-03-11,令纪燃不爽多年的死对头破产了。狐朋狗友问纪燃打算怎么办。纪燃冷笑一声——这他妈还用问？！那当然是趁机折磨他、羞辱他、践踏他啦:)于是纪燃大手一挥，把卡往死对头身上一丢，张狂地说要‘资助’他。结果第二天，他一脸懵逼的坐在床头，感受着身上的阵阵酸疼，想起昨晚受过的苦，挨过的“打”和流过的泪……草亏特么大发了。狗比秦满，我杀了你。——文盲式写文、逻辑已进土立碑、放飞自我、无文笔可言、攻受都不是善茬。
70,碎玉投珠,北南,原创-纯爱-近代现代-爱情,完结,314331,11798822912,"['豪门世家', '情有独钟', '欢喜冤家', '业界精英', '正剧']",2018-01-10,古玩行没一个缺心眼儿的。攻受都臭讲究。退一步兄友弟恭，进一步情有独钟，再进一步走完一生。白头偕老he丁汉白：“这行最喜欢的就是玉，料分三六九等，人也分龙凤蝼蚁，我既名汉白，自是配得起良玉。”纪慎语：“师哥一向都是拔尖儿的。”丁汉白：“既然拔尖儿，那配不配做你的良人？”（攻就是比较没羞没臊，非逼着人家跟他好）张狂事儿多大少爷·特级鉴宝专家攻，双商高长得美·古董制造达人受注意：番外为脑洞向，与正文无关，尬写。
71,不死者,淮上,原创-纯爱-近代现代-爱情,完结,395649,11465376768,"['强强', '欢喜冤家', '天作之合', '末世', '正剧', 'HE']",2017-04-19,——《帖撒罗尼迦前书 4:16》通讯中断，水电停止，化工厂泄露，核电站爆炸，城市沦为地狱焦土；生化危机丧尸题材ABO设定，AO配，人狠话还多帅不过三秒攻vs虽有战力爆表奈何一生点背受
